"Step","CrossEntropyLoss, opt=Adagrad, lr=0.1 - train/accuracy","CrossEntropyLoss, opt=Adagrad, lr=0.1 - train/accuracy__MIN","CrossEntropyLoss, opt=Adagrad, lr=0.1 - train/accuracy__MAX","CrossEntropyLoss, opt=RMSprop, lr=0.1 - train/accuracy","CrossEntropyLoss, opt=RMSprop, lr=0.1 - train/accuracy__MIN","CrossEntropyLoss, opt=RMSprop, lr=0.1 - train/accuracy__MAX","CrossEntropyLoss, opt=Adam, lr=0.1 - train/accuracy","CrossEntropyLoss, opt=Adam, lr=0.1 - train/accuracy__MIN","CrossEntropyLoss, opt=Adam, lr=0.1 - train/accuracy__MAX","CrossEntropyLoss, opt=SGD, lr=0.1 - train/accuracy","CrossEntropyLoss, opt=SGD, lr=0.1 - train/accuracy__MIN","CrossEntropyLoss, opt=SGD, lr=0.1 - train/accuracy__MAX","NLLLoss, opt=Adagrad, lr=0.01 - train/accuracy","NLLLoss, opt=Adagrad, lr=0.01 - train/accuracy__MIN","NLLLoss, opt=Adagrad, lr=0.01 - train/accuracy__MAX","NLLLoss, opt=RMSprop, lr=0.01 - train/accuracy","NLLLoss, opt=RMSprop, lr=0.01 - train/accuracy__MIN","NLLLoss, opt=RMSprop, lr=0.01 - train/accuracy__MAX","NLLLoss, opt=Adam, lr=0.01 - train/accuracy","NLLLoss, opt=Adam, lr=0.01 - train/accuracy__MIN","NLLLoss, opt=Adam, lr=0.01 - train/accuracy__MAX","NLLLoss, opt=SGD, lr=0.01 - train/accuracy","NLLLoss, opt=SGD, lr=0.01 - train/accuracy__MIN","NLLLoss, opt=SGD, lr=0.01 - train/accuracy__MAX","NLLLoss, opt=Adagrad, lr=0.1 - train/accuracy","NLLLoss, opt=Adagrad, lr=0.1 - train/accuracy__MIN","NLLLoss, opt=Adagrad, lr=0.1 - train/accuracy__MAX","NLLLoss, opt=RMSprop, lr=0.1 - train/accuracy","NLLLoss, opt=RMSprop, lr=0.1 - train/accuracy__MIN","NLLLoss, opt=RMSprop, lr=0.1 - train/accuracy__MAX"
"10","0.9854710088001462","0.9854710088001462","0.9854710088001462","0.718450564803101","0.718450564803101","0.718450564803101","0.7256606911111065","0.7256606911111065","0.7256606911111065","0.6559776098826738","0.6559776098826738","0.6559776098826738","0.9512921102403655","0.9512921102403655","0.9512921102403655","0.9691258830817666","0.9691258830817666","0.9691258830817666","0.9564066888309839","0.9564066888309839","0.9564066888309839","0","0","0","0.9852255749420857","0.9852255749420857","0.9852255749420857","0.7031432530424726","0.7031432530424726","0.7031432530424726"
"11","0.9889171862696099","0.9889171862696099","0.9889171862696099","0.7190847328798039","0.7190847328798039","0.7190847328798039","0.7220142158701663","0.7220142158701663","0.7220142158701663","0.6770178230376694","0.6770178230376694","0.6770178230376694","0.9581482257899336","0.9581482257899336","0.9581482257899336","0.9722135066986084","0.9722135066986084","0.9722135066986084","0.9644582806609747","0.9644582806609747","0.9644582806609747","0","0","0","0.9890955932966368","0.9890955932966368","0.9890955932966368","0.7228708223212422","0.7228708223212422","0.7228708223212422"
"12","0.9912791855222597","0.9912791855222597","0.9912791855222597","0.7162299951699775","0.7162299951699775","0.7162299951699775","0.7267720029344709","0.7267720029344709","0.7267720029344709","0.6934136974177961","0.6934136974177961","0.6934136974177961","0.9615546779369745","0.9615546779369745","0.9615546779369745","0.9703743374488485","0.9703743374488485","0.9703743374488485","0.9680536340071461","0.9680536340071461","0.9680536340071461","0","0","0","0.9852656822974287","0.9852656822974287","0.9852656822974287","0.7245385752418848","0.7245385752418848","0.7245385752418848"
"13","0.9932650078938702","0.9932650078938702","0.9932650078938702","0.7267801014222498","0.7267801014222498","0.7267801014222498","0.7253771425466838","0.7253771425466838","0.7253771425466838","0.7057401913944192","0.7057401913944192","0.7057401913944192","0.96401112544255","0.96401112544255","0.96401112544255","0.97584868486472","0.97584868486472","0.97584868486472","0.9702912003505887","0.9702912003505887","0.9702912003505887","0","0","0","0.9715154034884896","0.9715154034884896","0.9715154034884896","0.7304352500776606","0.7304352500776606","0.7304352500776606"
"14","0.9943026834585535","0.9943026834585535","0.9943026834585535","0.7322981853888729","0.7322981853888729","0.7322981853888729","0.7212837046290946","0.7212837046290946","0.7212837046290946","0.7146021083114654","0.7146021083114654","0.7146021083114654","0.9663782431854038","0.9663782431854038","0.9663782431854038","0.9752270305954566","0.9752270305954566","0.9752270305954566","0.9734338648675933","0.9734338648675933","0.9734338648675933","0","0","0","0.9834816261069981","0.9834816261069981","0.9834816261069981","0.7256938153364527","0.7256938153364527","0.7256938153364527"
"15","0.9959385263638234","0.9959385263638234","0.9959385263638234","0.7329257243261562","0.7329257243261562","0.7329257243261562","0.727782677008411","0.727782677008411","0.727782677008411","0.7208196912694165","0.7208196912694165","0.7208196912694165","0.967932509625052","0.967932509625052","0.967932509625052","0.9806964723613318","0.9806964723613318","0.9806964723613318","0.9726215220811799","0.9726215220811799","0.9726215220811799","0","0","0","0.9888978375224616","0.9888978375224616","0.9888978375224616","0.7349448152414457","0.7349448152414457","0.7349448152414457"
"16","0.9970827295085577","0.9970827295085577","0.9970827295085577","0.7328570496848249","0.7328570496848249","0.7328570496848249","0.7319871295155502","0.7319871295155502","0.7319871295155502","0.7268152995489714","0.7268152995489714","0.7268152995489714","0.9724914771834696","0.9724914771834696","0.9724914771834696","0.9793682175827777","0.9793682175827777","0.9793682175827777","0.9636840759299872","0.9636840759299872","0.9636840759299872","0","0","0","0.9920666708251623","0.9920666708251623","0.9920666708251623","0.7297927296067787","0.7297927296067787","0.7297927296067787"
"17","0.9976285217315193","0.9976285217315193","0.9976285217315193","0.7385103524200559","0.7385103524200559","0.7385103524200559","0.7304131536502537","0.7304131536502537","0.7304131536502537","0.7321313152045715","0.7321313152045715","0.7321313152045715","0.9749096636697063","0.9749096636697063","0.9749096636697063","0.9815613618047219","0.9815613618047219","0.9815613618047219","0.962554108204804","0.962554108204804","0.962554108204804","0","0","0","0.9934211528207374","0.9934211528207374","0.9934211528207374","0.7367233960177955","0.7367233960177955","0.7367233960177955"
"18","0.9976832897175015","0.9976832897175015","0.9976832897175015","0.7346190662365261","0.7346190662365261","0.7346190662365261","0.735182953749116","0.735182953749116","0.735182953749116","0.7371600158805922","0.7371600158805922","0.7371600158805922","0.9772750756402654","0.9772750756402654","0.9772750756402654","0.9831750275581841","0.9831750275581841","0.9831750275581841","0.9725481213077786","0.9725481213077786","0.9725481213077786","0","0","0","0.9945609266833058","0.9945609266833058","0.9945609266833058","0.7266073063837262","0.7266073063837262","0.7266073063837262"
"19","0.9978882203421254","0.9978882203421254","0.9978882203421254","0.7318132823611808","0.7318132823611808","0.7318132823611808","0.7383543696459822","0.7383543696459822","0.7383543696459822","0.7404147357217908","0.7404147357217908","0.7404147357217908","0.9781222798692899","0.9781222798692899","0.9781222798692899","0.983627746424337","0.983627746424337","0.983627746424337","0.9737403352898876","0.9737403352898876","0.9737403352898876","0","0","0","0.9950154785096176","0.9950154785096176","0.9950154785096176","0.7338629525712156","0.7338629525712156","0.7338629525712156"
