"Step","CrossEntropyLoss, opt=Adagrad, lr=0.1 - train/loss","CrossEntropyLoss, opt=Adagrad, lr=0.1 - train/loss__MIN","CrossEntropyLoss, opt=Adagrad, lr=0.1 - train/loss__MAX","CrossEntropyLoss, opt=RMSprop, lr=0.1 - train/loss","CrossEntropyLoss, opt=RMSprop, lr=0.1 - train/loss__MIN","CrossEntropyLoss, opt=RMSprop, lr=0.1 - train/loss__MAX","CrossEntropyLoss, opt=Adam, lr=0.1 - train/loss","CrossEntropyLoss, opt=Adam, lr=0.1 - train/loss__MIN","CrossEntropyLoss, opt=Adam, lr=0.1 - train/loss__MAX","CrossEntropyLoss, opt=SGD, lr=0.1 - train/loss","CrossEntropyLoss, opt=SGD, lr=0.1 - train/loss__MIN","CrossEntropyLoss, opt=SGD, lr=0.1 - train/loss__MAX","NLLLoss, opt=Adagrad, lr=0.01 - train/loss","NLLLoss, opt=Adagrad, lr=0.01 - train/loss__MIN","NLLLoss, opt=Adagrad, lr=0.01 - train/loss__MAX","NLLLoss, opt=RMSprop, lr=0.01 - train/loss","NLLLoss, opt=RMSprop, lr=0.01 - train/loss__MIN","NLLLoss, opt=RMSprop, lr=0.01 - train/loss__MAX","NLLLoss, opt=Adam, lr=0.01 - train/loss","NLLLoss, opt=Adam, lr=0.01 - train/loss__MIN","NLLLoss, opt=Adam, lr=0.01 - train/loss__MAX","NLLLoss, opt=SGD, lr=0.01 - train/loss","NLLLoss, opt=SGD, lr=0.01 - train/loss__MIN","NLLLoss, opt=SGD, lr=0.01 - train/loss__MAX","NLLLoss, opt=Adagrad, lr=0.1 - train/loss","NLLLoss, opt=Adagrad, lr=0.1 - train/loss__MIN","NLLLoss, opt=Adagrad, lr=0.1 - train/loss__MAX","NLLLoss, opt=RMSprop, lr=0.1 - train/loss","NLLLoss, opt=RMSprop, lr=0.1 - train/loss__MIN","NLLLoss, opt=RMSprop, lr=0.1 - train/loss__MAX"
"0","0.1238016544577233","0.1238016544577233","0.1238016544577233","0.7599786105089066","0.7599786105089066","0.7599786105089066","0.1825330591848575","0.1825330591848575","0.1825330591848575","0.37362040679051184","0.37362040679051184","0.37362040679051184","0.15355556987328675","0.15355556987328675","0.15355556987328675","0.1207675804772715","0.1207675804772715","0.1207675804772715","0.1338091993403775","0.1338091993403775","0.1338091993403775","0.6550442442649932","0.6550442442649932","0.6550442442649932","0.11969865925654065","0.11969865925654065","0.11969865925654065","0.6920902651815316","0.6920902651815316","0.6920902651815316"
"1","0.04634051938178238","0.04634051938178238","0.04634051938178238","0.21688601104029287","0.21688601104029287","0.21688601104029287","0.1302580717239734","0.1302580717239734","0.1302580717239734","0.3216652719993291","0.3216652719993291","0.3216652719993291","0.07715594691708391","0.07715594691708391","0.07715594691708391","0.0477256779499374","0.0477256779499374","0.0477256779499374","0.053770590850837734","0.053770590850837734","0.053770590850837734","0.364269659685807","0.364269659685807","0.364269659685807","0.044867345102600695","0.044867345102600695","0.044867345102600695","0.21854767477044498","0.21854767477044498","0.21854767477044498"
"2","0.03133453479734264","0.03133453479734264","0.03133453479734264","0.1895813726651387","0.1895813726651387","0.1895813726651387","0.12716536890114033","0.12716536890114033","0.12716536890114033","0.2866621930005513","0.2866621930005513","0.2866621930005513","0.057141279613811845","0.057141279613811845","0.057141279613811845","0.034518558509770675","0.034518558509770675","0.034518558509770675","0.03439310359847402","0.03439310359847402","0.03439310359847402","0.351010634879193","0.351010634879193","0.351010634879193","0.03147607659517721","0.03147607659517721","0.03147607659517721","0.1899052723347554","0.1899052723347554","0.1899052723347554"
"3","0.02435681032196538","0.02435681032196538","0.02435681032196538","0.18126026279197668","0.18126026279197668","0.18126026279197668","0.12641027303207225","0.12641027303207225","0.12641027303207225","0.23241607591099156","0.23241607591099156","0.23241607591099156","0.04579795692317686","0.04579795692317686","0.04579795692317686","0.026940298865056105","0.026940298865056105","0.026940298865056105","0.029060501191631238","0.029060501191631238","0.029060501191631238","0.344912551255442","0.344912551255442","0.344912551255442","0.02377070262675232","0.02377070262675232","0.02377070262675232","0.16770218491854924","0.16770218491854924","0.16770218491854924"
"4","0.01915193224411942","0.01915193224411942","0.01915193224411942","0.1717479969631499","0.1717479969631499","0.1717479969631499","0.12735625395301994","0.12735625395301994","0.12735625395301994","0.19859833097246687","0.19859833097246687","0.19859833097246687","0.037620726884361064","0.037620726884361064","0.037620726884361064","0.022762303900475043","0.022762303900475043","0.022762303900475043","0.02389684897000942","0.02389684897000942","0.02389684897000942","0.3414552833034298","0.3414552833034298","0.3414552833034298","0.019433945166125826","0.019433945166125826","0.019433945166125826","0.1672729743391598","0.1672729743391598","0.1672729743391598"
"5","0.015614900519894014","0.015614900519894014","0.015614900519894014","0.16048745533422104","0.16048745533422104","0.16048745533422104","0.1248056963342792","0.1248056963342792","0.1248056963342792","0.18176244325407848","0.18176244325407848","0.18176244325407848","0.03193817068236022","0.03193817068236022","0.03193817068236022","0.020487389763185614","0.020487389763185614","0.020487389763185614","0.019159278306702388","0.019159278306702388","0.019159278306702388","0.33900554756831935","0.33900554756831935","0.33900554756831935","0.01720129593191155","0.01720129593191155","0.01720129593191155","0.16182863836242692","0.16182863836242692","0.16182863836242692"
"6","0.013225543969913522","0.013225543969913522","0.013225543969913522","0.15664950532354707","0.15664950532354707","0.15664950532354707","0.12393449791560433","0.12393449791560433","0.12393449791560433","0.16955385294075556","0.16955385294075556","0.16955385294075556","0.027735344675327393","0.027735344675327393","0.027735344675327393","0.01762398233596308","0.01762398233596308","0.01762398233596308","0.023188532312622013","0.023188532312622013","0.023188532312622013","0.33695809314335423","0.33695809314335423","0.33695809314335423","0.013290099947787565","0.013290099947787565","0.013290099947787565","0.14542529683772798","0.14542529683772798","0.14542529683772798"
"7","0.011095642085612466","0.011095642085612466","0.011095642085612466","0.1493628902973123","0.1493628902973123","0.1493628902973123","0.11963903766096108","0.11963903766096108","0.11963903766096108","0.15933175041068962","0.15933175041068962","0.15933175041068962","0.024630728772636064","0.024630728772636064","0.024630728772636064","0.01580126247011601","0.01580126247011601","0.01580126247011601","0.023784187684930114","0.023784187684930114","0.023784187684930114","0.3350699505820049","0.3350699505820049","0.3350699505820049","0.010582928941854391","0.010582928941854391","0.010582928941854391","0.1479880457824668","0.1479880457824668","0.1479880457824668"
"8","0.008711271913709897","0.008711271913709897","0.008711271913709897","0.14699797675849532","0.14699797675849532","0.14699797675849532","0.11701096107955934","0.11701096107955934","0.11701096107955934","0.15054415691438622","0.15054415691438622","0.15054415691438622","0.022095676246841667","0.022095676246841667","0.022095676246841667","0.01442466573047654","0.01442466573047654","0.01442466573047654","0.01892483582041606","0.01892483582041606","0.01892483582041606","0.3332200903944143","0.3332200903944143","0.3332200903944143","0.009324262311178975","0.009324262311178975","0.009324262311178975","0.13311171805115754","0.13311171805115754","0.13311171805115754"
"9","0.007100076766554715","0.007100076766554715","0.007100076766554715","0.14027723718038576","0.14027723718038576","0.14027723718038576","0.1156701961601901","0.1156701961601901","0.1156701961601901","0.14313464003109086","0.14313464003109086","0.14313464003109086","0.02034541603987193","0.02034541603987193","0.02034541603987193","0.012798198231086114","0.012798198231086114","0.012798198231086114","0.016012293411114924","0.016012293411114924","0.016012293411114924","0.3313313560985674","0.3313313560985674","0.3313313560985674","0.007994679325282222","0.007994679325282222","0.007994679325282222","0.14833665593145928","0.14833665593145928","0.14833665593145928"
"10","0.006043781247888002","0.006043781247888002","0.006043781247888002","0.14006554253223374","0.14006554253223374","0.14006554253223374","0.11650551864364016","0.11650551864364016","0.11650551864364016","0.13696929969362856","0.13696929969362856","0.13696929969362856","0.019115213420027574","0.019115213420027574","0.019115213420027574","0.0114250761922721","0.0114250761922721","0.0114250761922721","0.014527764367705358","0.014527764367705358","0.014527764367705358","0.32934446720861077","0.32934446720861077","0.32934446720861077","0.006263406456872778","0.006263406456872778","0.006263406456872778","0.14087838544436973","0.14087838544436973","0.14087838544436973"
"11","0.005089022358448332","0.005089022358448332","0.005089022358448332","0.1378927073325947","0.1378927073325947","0.1378927073325947","0.1152262318380705","0.1152262318380705","0.1152262318380705","0.13180515316028998","0.13180515316028998","0.13180515316028998","0.01704893899988933","0.01704893899988933","0.01704893899988933","0.010138383892465783","0.010138383892465783","0.010138383892465783","0.012151943894566539","0.012151943894566539","0.012151943894566539","0.32720862798334105","0.32720862798334105","0.32720862798334105","0.005064638504594281","0.005064638504594281","0.005064638504594281","0.13549406111504383","0.13549406111504383","0.13549406111504383"
"12","0.004304248109625534","0.004304248109625534","0.004304248109625534","0.13956482113636004","0.13956482113636004","0.13956482113636004","0.11423404008062102","0.11423404008062102","0.11423404008062102","0.12739929220250507","0.12739929220250507","0.12739929220250507","0.015297580315588467","0.015297580315588467","0.015297580315588467","0.010846852557848237","0.010846852557848237","0.010846852557848237","0.011270985558540121","0.011270985558540121","0.011270985558540121","0.32487796959797227","0.32487796959797227","0.32487796959797227","0.007179201334010726","0.007179201334010726","0.007179201334010726","0.1301441108734589","0.1301441108734589","0.1301441108734589"
"13","0.0033160440448406782","0.0033160440448406782","0.0033160440448406782","0.12420529405601088","0.12420529405601088","0.12420529405601088","0.12020086625766918","0.12020086625766918","0.12020086625766918","0.12355236735150922","0.12355236735150922","0.12355236735150922","0.014788368719585944","0.014788368719585944","0.014788368719585944","0.009471776683391558","0.009471776683391558","0.009471776683391558","0.010877910775144394","0.010877910775144394","0.010877910775144394","0.3223099878395167","0.3223099878395167","0.3223099878395167","0.010502811016901726","0.010502811016901726","0.010502811016901726","0.13219609742756844","0.13219609742756844","0.13219609742756844"
"14","0.0026453027066050765","0.0026453027066050765","0.0026453027066050765","0.13189783209832165","0.13189783209832165","0.13189783209832165","0.12011116994618196","0.12011116994618196","0.12011116994618196","0.12011311861767074","0.12011311861767074","0.12011311861767074","0.013541634642396683","0.013541634642396683","0.013541634642396683","0.008884785404021158","0.008884785404021158","0.008884785404021158","0.010241199241164846","0.010241199241164846","0.010241199241164846","0.3194629261050168","0.3194629261050168","0.3194629261050168","0.006699256167476552","0.006699256167476552","0.006699256167476552","0.13478636394958854","0.13478636394958854","0.13478636394958854"
"15","0.0021164819089052778","0.0021164819089052778","0.0021164819089052778","0.13246738854209034","0.13246738854209034","0.13246738854209034","0.11888368894881386","0.11888368894881386","0.11888368894881386","0.11698140921511167","0.11698140921511167","0.11698140921511167","0.013569241854491439","0.013569241854491439","0.013569241854491439","0.007926213658930065","0.007926213658930065","0.007926213658930065","0.009796857930292018","0.009796857930292018","0.009796857930292018","0.31628867552623036","0.31628867552623036","0.31628867552623036","0.005042442985304803","0.005042442985304803","0.005042442985304803","0.1369170147153791","0.1369170147153791","0.1369170147153791"
"16","0.001837138642763528","0.001837138642763528","0.001837138642763528","0.13669323472500464","0.13669323472500464","0.13669323472500464","0.11820336660795559","0.11820336660795559","0.11820336660795559","0.11411721692017214","0.11411721692017214","0.11411721692017214","0.01187441754384025","0.01187441754384025","0.01187441754384025","0.007555479039545059","0.007555479039545059","0.007555479039545059","0.013483495145461405","0.013483495145461405","0.013483495145461405","0.31272016650461776","0.31272016650461776","0.31272016650461776","0.003669102958521375","0.003669102958521375","0.003669102958521375","0.12682407760193323","0.12682407760193323","0.12682407760193323"
"17","0.0014279186123819208","0.0014279186123819208","0.0014279186123819208","0.13882445412189295","0.13882445412189295","0.13882445412189295","0.11794700366573217","0.11794700366573217","0.11794700366573217","0.1115061838333825","0.1115061838333825","0.1115061838333825","0.010784234788464053","0.010784234788464053","0.010784234788464053","0.007422621608812253","0.007422621608812253","0.007422621608812253","0.014090119970807261","0.014090119970807261","0.014090119970807261","0.30865747029856433","0.30865747029856433","0.30865747029856433","0.0029240034358463877","0.0029240034358463877","0.0029240034358463877","0.13581287483483054","0.13581287483483054","0.13581287483483054"
"18","0.0012777543742505423","0.0012777543742505423","0.0012777543742505423","0.12356259996496786","0.12356259996496786","0.12356259996496786","0.11664973045369302","0.11664973045369302","0.11664973045369302","0.10909799214335174","0.10909799214335174","0.10909799214335174","0.01011923998976988","0.01011923998976988","0.01011923998976988","0.006593481908151541","0.006593481908151541","0.006593481908151541","0.010293058042577293","0.010293058042577293","0.010293058042577293","0.3039579526411267","0.3039579526411267","0.3039579526411267","0.002457596279739624","0.002457596279739624","0.002457596279739624","0.13691067065324958","0.13691067065324958","0.13691067065324958"
"19","0.000992399361687453","0.000992399361687453","0.000992399361687453","0.13079914986339258","0.13079914986339258","0.13079914986339258","0.1151859889569597","0.1151859889569597","0.1151859889569597","0.10682429875591844","0.10682429875591844","0.10682429875591844","0.009626354798757083","0.009626354798757083","0.009626354798757083","0.006416612725611302","0.006416612725611302","0.006416612725611302","0.009452895535169651","0.009452895535169651","0.009452895535169651","0.29843979871531173","0.29843979871531173","0.29843979871531173","0.002172540442367654","0.002172540442367654","0.002172540442367654","0.1323524592187637","0.1323524592187637","0.1323524592187637"
